component,jtl_article_number
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4SFRA32A.C16FJ - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
CT16G4SFRA32A.C16FJ - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
CT16G4SFRA32A.C16FT - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
CT16G4SFRA32A.C8FF - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
CT16G56C46U5.M8G1 - DIMM Synchronous 5600 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
CT16G56C46U5.M8G1 - DIMM Synchronous Unbuffered (Unregistered) 5600 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
CT8G4DFS824A.C8FJ - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
D3161-A1,MAB-D3162-A12-HB
D3162-A1,MAB-D3162-A12-HB
D3221-A1,MAB-D3222-A12
D3222-A1,MAB-D3222-A12
D3401-A1,MAB-D3401-A11
D3402-A1,MAB-D3401-A11
D3403-A1,Nicht im WAWI
D3403-U1,Nicht im WAWI
D3543-A1,Nicht im WAWI
DDR3 8GB 1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
DDR3 NB 8G 1600 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
DDR3 PC 8G 1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
DT8G2666V.HTL0724 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
DT8G2666V.HTL0824 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
DVD Laufwerk,DVD-Brenner
F4-3200C16-16GIS - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
F4-3200C16-16GIS - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
F641GU67G1600G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
F641GU97G1600G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
FIKWOT FN501 Pro 1TB-SSD-nvme-1024GB,SSD-M2-1TB
GR1600D364L11/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
GR1600D3V64L11/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
GREED_SNOW_W,PC-GREED_SNOW
GREED_STORM_W,PC-GREED_STORM
H470M-STX,PCL-Nano-Intel
H510M-A PRO (MS-7D22),MAB-H510M
H510M-H2/M.2 SE,MAB-H510M
H510M-HDV/M.2 SE,MAB-H510M
H610M K DDR4,MAB-H610M
H610M-H2/M.2,MAB-H610M
H610M-H2/M.2 D5,MAB-H610M
H610M-HDV/M.2 R2.0,MAB-H610M
H610M-HVS/M.2 R2.0,MAB-H610M
HB-Basic,PC-HB-Basic
HB-Basic-4,PC-HB-Basic
HB-Basic-i7,PC-HB-Basic
HB-Multi,PC-HB-Multi
HB-Multi-4,PC-HB-Multi
HB-Ultra,PC-HB-Ultra
HB-Ultra-4,PC-HB-Ultra
HKED4081CAA1D0HA1 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HKED4081CAA1D0HA1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HKED4082CAA1D0HA1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-16GB-DDR4-SODIMM
HL-DT-ST HL-DT-ST DVD+/-RW GHA2N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-RAM GH15L-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-RAM GHB0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-RAM GHC0N-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-RAM GHC0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-RAM GSA-H60L-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-ROM DH50N-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-ROM DH50N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD-ROM DH60N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH22NS90-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NS95-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSB0-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSC0-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSD0-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSD1-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSD1-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSD5-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH40N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH60N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH70N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHA2N-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHA2N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHB0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHC0N-HDD-ata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHC0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHD0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GUD0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GUE0N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDROM DH16NS30-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDROM DH20N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-STDVD-RAM GH60N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-STDVD-RAM GH70N-HDD-sata-1GB,DVD-Brenner
HMA41GS6AFR8N-TF - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA41GU6AFR8N-TF - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HMA41GU6AFR8N-TF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HMA81GS6AFR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6CJR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6CJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6DJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6JJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6MFR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GU6AFR8N-UH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HMA81GU6AFR8N-UH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA81GU6CJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA81GU6DJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA81GU6MFR8N-UH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
HMA851S6CJR6N-VK - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
HMA851U6CJR6N-UH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
HMT351U6CFR8C-H9 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
HMT351U6CFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT351U6EFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT351U7BFR8C-H9 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
HMT41GS6BFR8A-PB - SODIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3-SODIMM
HMT41GS6BFR8A-PB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
HMT41GU6AFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU6AFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU6BFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU6BFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU6DFR8A-PB - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
HMT41GU6DFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU6MFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT41GU7AFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HMT451U6AFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6AFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6BFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6BFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6DFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
hp HLDS hp HLDS DVDRW GUD0N-HDD-sata-1GB,DVD-Brenner
hp hp CDDVDW SH-216ALN-HDD-ata-1GB,DVD-Brenner
hp hp CDDVDW SH-216BB-HDD-ata-1GB,DVD-Brenner
hp hp CDDVDW SH-216BB-HDD-sata-1GB,DVD-Brenner
hp hp CDDVDW SH-216DB-HDD-sata-1GB,DVD-Brenner
hp hp CDDVDW TS-H653R-HDD-sata-1GB,DVD-Brenner
hp hp CDDVDW TS-H653T-HDD-sata-1GB,DVD-Brenner
hp hp DVD A DH16ABLH-HDD-sata-1GB,DVD-Brenner
hp hp DVD A DH16ACSH-HDD-sata-0GB,DVD-Brenner
hp hp DVD A DH16ACSHR-HDD-ata-1GB,DVD-Brenner
hp hp DVD A DH16ACSHR-HDD-sata-1GB,DVD-Brenner
hp hp DVD A DH16AFSH-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GH40L-HDD-ata-1GB,DVD-Brenner
hp hp DVD-RAM GH40L-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GH60L-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GH80N-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GH82N-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GHA3N-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM GHC0N-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM SW820-HDD-sata-1GB,DVD-Brenner
hp hp DVD-RAM SW830-HDD-sata-1GB,DVD-Brenner
HP24D4S7S8MBP-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HP24D4U7S8MBP-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP24D4U7S8MD-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP24D4U7S8MH-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP26D4S9S8HJ-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HP26D4S9S8ME-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HP26D4U9S8MD-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP26D4U9S8ME-8 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP698650-154-KEB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HP698650-154-MCN - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HP698651-154-KEB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
INNO124205 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
INNO124205 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO124205 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO124205 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
INNO124308 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
INNO124308 - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
INNO124308 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
INNO124308 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
INNO125155 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
INNO125361 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
INNO135977 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO135977 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
INNO135977 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
INNO135978 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
INNO135978 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO135978 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO8GB1600S - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
Intel ARC A380,GRA-ARC380-6GB
Intel HD 4000,Nicht im WAWI
Intel HD 4600,Nicht im WAWI
Intel HD 530,Nicht im WAWI
Intel HD 630,Nicht im WAWI
Intel Integrated,Nicht im WAWI
INTEL SSDPEKKF256G7L-SSD-nvme-256GB,SSD-M2-256GB
INTEL SSDPEKNW512G8-SSD-nvme-512GB,SSD-512GB-M2
INTEL SSDPEKNW512G8H-SSD-nvme-512GB,SSD-512GB-M2
Intel UHD 605,Nicht im WAWI
Intel UHD 630,Nicht im WAWI
Intel(R) Celeron(R) N4500 @ 1.10GHz,Nicht im WAWI
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,CPU-i5-10400
Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,CPU-i5-10400F
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,CPU-i5-3470
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,CPU-i5-4570
Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,CPU-i5-4570
Intel(R) Core(TM) i5-4570T CPU @ 2.90GHz,CPU-i5-4570
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,CPU-i5-4590
Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,JTL_ARTNR_CPU_4590T
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,CPU-i5-4570
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz,CPU-i5-4570
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,CPU-i5-6500
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,CPU-i5-6500
Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,JTL_ARTNR_CPU_6500T
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,CPU-i5-6600
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,CPU-i5-7400
Intel(R) Core(TM) i5-7400T CPU @ 2.40GHz,JTL_ARTNR_CPU_7400T
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,CPU-i5-7500
Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,CPU-i5-7500T
Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz,JTL_ARTNR_CPU_7600T
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,CPU-i7-10700
Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz,CPU-i7-10700F
Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,CPU-i7-10700
Intel(R) Core(TM) i7-14700KF,CPU-i7-14700KF
Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,CPU-i7-2600
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,CPU-i7-3770
Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz,CPU-i7-3770
Intel(R) Core(TM) i7-4765T CPU @ 2.00GHz,JTL_ARTNR_CPU_4765T
Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,CPU-i7-4770
Intel(R) Core(TM) i7-4785T CPU @ 2.20GHz,Nicht im WAWI
Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,CPU-i7-4790
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,CPU-i7-4790
Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz,CPU-i7-4790
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,CPU-i7-6700
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,CPU-i7-7700
Intel(R) Core(TM) i9-10900F CPU @ 2.80GHz,CPU-i9-10900F
Intel(R) Pentium(R) Silver J5005 CPU @ 1.50GHz,Nicht im WAWI
K531R8-HYA - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
K66GKY-ETB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
K66GKY-MIN - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
KBG50ZNV512G KIOXIA-SSD-nvme-512GB,SSD-512GB-M2
KF1600NDBD3 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
KF556C36-16 - DIMM Synchronous 4800 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
KF556C36-16 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
KF556C40-32 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-32GB,RAM-32GB-DDR5
KHYXPX-MID - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KHYXPX-MIE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KINGSTON SNV2S1000G-SSD-nvme-1000GB,SSD-M2-1TB
KINGSTON SNV3S1000G-SSD-nvme-1000GB,SSD-M2-1TB
KINGSTON SNV3S2000G-SSD-nvme-2000GB,SSD-M2-2TB
KINGSTON SNV3S4000G-SSD-nvme-4000GB,SSD-M2-4TB
KIOXIA-EXCERIA G2 SSD-SSD-nvme-1000GB,SSD-M2-1TB
KM0VW4-MIB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
KMKYF9-MID - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KMKYF9-MIH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KN2M64-ETB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
KP4T2F-PSB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
Kunden-PC,Nicht im WAWI
LENOVO_MT_10B4,Nicht im WAWI
Lexar SSD NM620 1TB-SSD-nvme-1024GB,SSD-M2-1TB
Lexar SSD NM710 1TB-SSD-nvme-1000GB,SSD-M2-1TB
LIQUID_240,JTL_ARTNR_COOLER_LIQUID_240
LNVNB161216,Nicht im WAWI
M378A1G43EB1-CPB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
M378A1K43BB1-CPB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
M378A1K43CB2-CRC - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
M378A1K43CB2-CRC - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A1K43CB2-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A1K43CB2-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A1K43DB2-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
M378A5143EB1-CPB - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
M378A5244CB0-CRC - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
M378A5244CB0-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4
M378B1G73DB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73EB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73EB0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73QH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73QH0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73QH0-YKO - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B5173DB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
