component,jtl_article_number
INNO8GB1600S - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
"ATA SSD_2.5""_1TB_InnovationIT_QLC-SSD-sata-1024GB",SSD-1TB-2-5
Optiarc Optiarc DVD RW AD-7290H-HDD-sata-1GB,DVD-Brenner
Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,CPU-i7-4770
HL-DT-ST HL-DT-ST DVDRAM GH60N-HDD-sata-1GB,DVD-Brenner
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CASE_OFFICE_HB,GEH-MA-01
Optiarc Optiarc DVD RW AD-7250H-HDD-sata-1GB,DVD-Brenner
TSSTcorp TSSTcorp CDDVDW SH-224BB-HDD-sata-1GB,DVD-Brenner
3106,Nicht im WAWI
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,CPU-i7-6700
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
Intel HD 530,Nicht im WAWI
ATA MicroFrom 1TB SATA3 SSD-SSD-sata-1024GB,SSD-1TB-2-5
M910-32-1T-i7,PC-M900-i7
D3161-A1,MAB-D3162-A12-HB
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,CPU-i7-3770
Intel HD 4000,Nicht im WAWI
TSSTcorp TSSTcorpDVD-ROM TS-H353C-HDD-sata-1GB,DVD-Brenner
HB-Ultra,PC-HB-Ultra
 KINGSTON SNV3S1000G-SSD-nvme-1000GB,SSD-M2-1TB
HL-DT-ST HL-DT-ST DVDRAM GH24NSD1-HDD-sata-1GB,DVD-Brenner
 MSI M450 1TB-SSD-nvme-1000GB,SSD-M2-1TB
D3401-A1,MAB-D3401-A11
9905743-150.A00G - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
Ultra7,PC-Ultra-7
ATAPI ATAPI iHAS124 F-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVD+/-RW GHA2N-HDD-sata-1GB,DVD-Brenner
"ATA SSD_2.5""_TLC_1TB_InnovationIT_MAS-SSD-sata-1024GB",SSD-1TB-2-5
W644GU44J2320NH - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
TSSTcorp TSSTcorp DVD-RW SH-216DB-HDD-sata-1GB,DVD-Brenner
ATA TOSHIBA HDWD110-HDD-sata-1000GB,HDD-1TB-3-5
11th Gen Intel(R) Core(TM) i9-11900F @ 2.50GHz,CPU-i9-11900F
TSSTcorp TSSTcorp CDDVDW SH-216DB-HDD-sata-1GB,DVD-Brenner
