component,jtl_article_number
TSSTcorp TSSTcorp DVD-ROM SH-118BB-HDD-ata-1GB,DVD-Brenner
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
ATA SSD 512-SSD-sata-512GB,SSD-512GB-2-5
M378A5143EB1-CPB - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
HMA851U6CJR6N-UH - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
TSSTcorp TSSTcorp DVD-ROM SH-116CB-HDD-sata-1GB,DVD-Brenner
,Nicht im WAWI
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,CPU-i5-3470
hp hp CDDVDW TS-H653R-HDD-sata-1GB,DVD-Brenner
Intel(R) Core(TM) i7-4765T CPU @ 2.00GHz,CPU-i7-4765T
HMT41GS6BFR8A-PB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
KN2M64-ETB - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
"ATA SSD_2.5""_TLC_1TB_InnovationIT-SSD-sata-1024GB",SSD-1TB-2-5
Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,CPU-i5-7500T
 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-16GB-DDR4
ASUS ASUS DRW-24F1ST a-HDD-sata-1GB,DVD-Brenner
SSD FEHLT,Nicht im WAWI
INNO135978 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
ATAPI ATAPI iHAS120 D-HDD-sata-1GB,DVD-Brenner
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
hp hp DVD-RAM GHA3N-HDD-sata-1GB,DVD-Brenner
 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
CT16G4DFD824A.C16FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
TSSTcorp TSSTcorp CDDVDW SH-216FB-HDD-sata-1GB,DVD-Brenner
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,CPU-i5-4570
DDR3 8GB 1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA SSD 512G-SSD-sata-512GB,SSD-512GB-2-5
ATA SSD 256GB-SSD-sata-256GB,SSD-240GB-2-5
D3543-A1,Nicht im WAWI
Intel(R) Pentium(R) Silver J5005 CPU @ 1.50GHz,Nicht im WAWI
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
Intel UHD 605,Nicht im WAWI
ATA SanDisk SD8SN8U-128G-1016-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
S940-8-128,PC-S940
UltraV2Intel-ALT,PC-Ultra-V2-Intel
DT8G2666V.HTL0724 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-STDVD-RAM GH60N-HDD-sata-1GB,DVD-Brenner
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
MS-B0A81,Nicht im WAWI
12th Gen Intel(R) Core(TM) i5-1235U,Nicht im WAWI
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4-SODIMM
MSI_Cubi_5-16-256_W,JTL_ARTNR_PC_MSI_Cubi_5-16-256
9905743-220.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
4ATF51264HZ-2G6E1 - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA SAMSUNG MZNLN128HAHQ-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
M471A1K43CB1-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
ATA SanDisk X400 M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,CPU-i7-10700
CT8G4DFRA32A.C8FT - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
Intel UHD 630,Nicht im WAWI
RMR5030MN68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
9905584-023.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
RMR5030KD68F9F1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
ATA SSD 512GB-SSD-sata-512GB,SSD-512GB-2-5
D3403-U1,Nicht im WAWI
8ATF1G64HZ-2G3E1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
30BE,Nicht im WAWI
ATAPI ATAPI DVD A DH16ABSH-HDD-sata-1GB,DVD-Brenner
COOLER_NANO_INTEL_1200,KUE-T-200
H470M-STX,PCL-Nano-Intel
M378B5773CH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-2GB,RAM-2GB-DDR3
ATA 512GB SATA 2.5 SSD-SSD-ata-512GB,SSD-512GB-2-5
ATAPI ATAPI iHAS124 F-HDD-ata-1GB,DVD-Brenner
M378A1K43CB2-CRC - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
DVD Laufwerk,DVD-Brenner
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
HMA851S6CJR6N-VK - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA SAMSUNG MZNTY128HDHP-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
AMD Ryzen 5 4600G with Radeon Graphics,CPU-R5-4600G
INNO124205 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
99U5471-057.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
99U5471-052.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz,CPU-i7-4790
M378B1G73QH0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA MicroFrom 256GB SATA3 SSD-SSD-sata-256GB,SSD-240GB-2-5
hp hp DVD A DH16ACSH-HDD-sata-0GB,DVD-Brenner
H610M-HDV/M.2 R2.0,MAB-H610M
X300M-STX,PCL-Nano-AMD
AMD Ryzen 5 5600G with Radeon Graphics,CPU-R5-5600G
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4-SODIMM
Nano_Pro_Intel,PC-Nano-Pro-Intel
F641GU97G1600G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
"ATA SSD_2.5""_TLC_240GB_InnovationIT-SSD-sata-240GB",SSD-240GB-2-5
INNO124308 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
MSI_Cubi_5-16-512_W,JTL_ARTNR_PC_MSI_Cubi_5-16-512
MK2PowerIntel-12,PC-MK2-Power-Intel
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,CPU-i5-10400
HKED4081CAA1D0HA1 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
BasicV2Intel,PC-Basic-V2-Intel
MultiV2Intel_W,PC-Multi-V2-Intel
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
[Empty] - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
SAMSUNG MZVLW256HEHP-000L7-SSD-nvme-256GB,SSD-M2-256GB
ATA Go-Infinity-SSD-sata-512GB,SSD-512GB-2-5
INTEL SSDPEKKF256G7L-SSD-nvme-256GB,SSD-M2-256GB
ATA Apacer AS340 240GB-SSD-sata-240GB,SSD-240GB-2-5
INNO135977 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
SSD_M.2_PCIe3_512GB_InnovationIT-SSD-nvme-512GB,SSD-512GB-M2
HKED4081CAA1D0HA1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
V01L3LF8GB52852816 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA SSD 256G-SSD-sata-256GB,SSD-240GB-2-5
ATA AGI1K0GIMAI238-SSD-sata-1024GB,SSD-1TB-2-5
M378B5273CH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6AFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
ATA SAMSUNG MZNLN128HAHQ-000H1-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA LITEON CV3-8D128-11 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
HMT41GU7AFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA 512GB SATA SSD-SSD-sata-512GB,SSD-512GB-2-5
ATA CT500BX500SSD1-SSD-sata-500GB,SSD-512GB-2-5
MK2ProAMD,PC-MK2-Pro-AMD
8ATF1G64AZ-2G6H1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M900-16-512,PC-M900-i5
M378A1K43CB2-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
RMUA5110MH78HAF-2666 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP26D4U9S8MD-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA81GU6CJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
MK2ProIntel-12-D5,PC-MK2-Pro-Intel
H610M-H2/M.2 D5,MAB-H610M
CT16G56C46U5.M8G1 - DIMM Synchronous 5600 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
ACR26D4U9S8ME-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HP24D4U7S8MD-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
KIOXIA-EXCERIA G2 SSD-SSD-nvme-1000GB,SSD-M2-1TB
HMA81GU6DJR8N-VK - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
TEAM TM8FPD001T-SSD-nvme-1024GB,SSD-M2-1TB
CT16G4DFRA32A.M16FE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
W644GU44J2320NH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-32GB,RAM-32GB-DDR4
AGI1T0GIMAI298-SSD-nvme-1024GB,SSD-M2-1TB
8ATF2G64HZ-3G2F1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
Nano_Pro_AMD,PC-Nano-Pro-AMD
CT16G4SFRA32A.C16FJ - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
INTEL SSDPEKNW512G8H-SSD-nvme-512GB,SSD-512GB-M2
KBG50ZNV512G KIOXIA-SSD-nvme-512GB,SSD-512GB-M2
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
CT16G4DFRA32A.C16FT - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
SSD_M.2_PCIe3_1TB_InnovationIT-SSD-nvme-1024GB,SSD-M2-1TB
AGI512GIMAI298-SSD-nvme-512GB,SSD-512GB-M2
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
ATA ST1000DM003-1ER162-HDD-sata-1000GB,HDD-1TB-3-5
Lexar SSD NM710 1TB-SSD-nvme-1000GB,SSD-M2-1TB
8ATF2G64AZ-3G2E1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905701-132.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
ATA GB1000EAFJL-HDD-sata-1000GB,HDD-1TB-3-5
Lexar SSD NM620 1TB-SSD-nvme-1024GB,SSD-M2-1TB
9905702-431.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905702-431.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
ATA ST1000DM010-2EP102-HDD-sata-1000GB,HDD-1TB-3-5
16JTF51264AZ-1G6M1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6AFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5273DH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT351U6CFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT351U6CFR8C-H9 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
HMT351U7BFR8C-H9 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
SATA Kabel,KAB-SATA
STICKER_GREED_GRAU,STI-Grau
STICKER_GREED_BLAU,STI-Blau
STICKER_GREED_ROT,STI-Rot
STICKER_HYPERBYTE_GRAU,STI-HyperByte-Grau
STICKER_GREED_ORANGE,STI-Orange
NO_STICKER,Nicht im WAWI
STICKER_NANO_BLAU,JTL_ARTNR_STICKER_NANO_BLAU
STICKER_NANO_ROT,JTL_ARTNR_STICKER_NANO_ROT
STICKER_PBMxGREED,JTL_ARTNR_STICKER_PBMxGREED
 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
HMT451U6BFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HMT451U6DFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5173EB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
KP4T2F-PSB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
M378B5173DB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
GR1600D364L11/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
W644GU44J2320NH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-32GB,RAM-32GB-DDR4
HMT41GS6BFR8A-PB - SODIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3-SODIMM
MultiV2Intel-GT730-i9,PC-Multi-V2-Intel
M471A5244CB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA SK hynix SC311 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz,CPU-i5-4570
NVIDIA GeForce RTX 5080,GRA-RTX5080
PRO H610M-G DDR4 (MS-7D46),MAB-H610M
12th Gen Intel(R) Core(TM) i5-12400F,CPU-i5-12400F
TEAMGROUP-UD4-3200 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-8GB,RAM-16GB-DDR4
SMI 2263XT-SSD-nvme-512GB,SSD-512GB-M2
Kunden-PC,Nicht im WAWI
99U5471-058.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
16KTF1G64AZ-1G6P1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
16KTF1G64AZ-1G9P1 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
1600DDAD3 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
GR1600D3V64L11/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CASE_MSI_GAMING,GEH-Velox-100R
COOLER_LIQUID_240,KUE-WA-240-S
PSU_GAMING_MSI_900W,NET-1000W
B650M GAMING PLUS WIFI (MS-7E24),MAB-B650
AMD Ryzen 5 9600X 6-Core Processor,CPU-R5-9600X
6000 Series - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
STORM-R5_96X_32_5080_W,JTL_ARTNR_PC_STORM-R5_96X_32_5080_W
99U5471-065.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
10B60009US,Nicht im WAWI
99U5403-160.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-056.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,CPU-i7-10700
CT16G4SFRA32A.C8FF - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
ATA TOSHIBA THNSNK256GVN8 M.2 2280 256GB-SSD-sata-256GB,SSD-256GB-M2
HMA81GS6JJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
Intel(R) Core(TM) i5-7400T CPU @ 2.40GHz,JTL_ARTNR_CPU_7400T
HMA81GS6CJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M471A1K43DB1-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
KHYXPX-MID - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
SAMSUNG MZVLW256HEHP-000H1-SSD-nvme-256GB,SSD-M2-256GB
SAMSUNG MZVLB256HAHQ-000L7-SSD-nvme-256GB,SSD-M2-256GB
ATA SSD_M.2_256GB_InnovationIT-SSD-sata-256GB,SSD-256GB-M2
SK hynix BC711 HFM256GD3JX013N-SSD-nvme-256GB,SSD-M2-256GB
4ATF51264AZ-2G6E1 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
4ATF51264AZ-3G2R1 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
KHYXPX-MIE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HP26D4S9S8HJ-8 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HMA81GS6DJR8N-VK - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
RMUA5120MB86H9F2400 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
4ATF51264AZ-2G3B1 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
8ATF1G64HZ-2G6E1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
AO1P26KC8T1-BXPS - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
RMSA3260ME78HAF-2666 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
8ATF1G64HZ-2G6H1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M378A1G43EB1-CPB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
RMUA5110ME78HAF-2666 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
8ATF1G64HZ-2G6J1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
M378A1K43BB1-CPB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
ASU16D3LU1KBG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
HP698651-154-KEB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
16ATF1G64HZ-2G1B1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
ATA SAMSUNG SSD PM871b M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA SanDisk X600 M.2 2280 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
M471A5244BB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
8ATF51264AZ-2G1A2 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
ATA SanDisk SD9SN8W-128G-1006-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
SOLIDIGM SSDPFKNU512GZ-SSD-nvme-512GB,SSD-512GB-M2
99U5471-062.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CT1000P3SSD8-SSD-nvme-1000GB,SSD-M2-1TB
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
ATA SAMSUNG MZ7LN256HCHP-000L7-SSD-sata-256GB,SSD-240GB-2-5
ATA LITEON CV8-8E128-11 SATA 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
4ATF51264HZ-2G6E1 - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
HP24D4U7S8MH-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
ATA WDC WD10EURX-63UY4Y0-HDD-ata-1000GB,HDD-1TB-3-5
HL-DT-ST HL-DT-ST DVD-ROM DH50N-HDD-ata-1GB,DVD-Brenner
ATA SAMSUNG MZNLN128HCGR-00000-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA TOSHIBA THNSNK128GVN8-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
4ATF51264HZ-2G3E1 - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SK hynix SC300 M.2 2280 256GB-SSD-sata-256GB,SSD-256GB-M2
ATA CT1000BX500SSD1-SSD-ata-1000GB,SSD-1TB-2-5
TSSTcorp TSSTcorpCD/DVDW TS-H653L-HDD-ata-1GB,DVD-Brenner
ACR16D3LU1MNG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
PSU_OTHER,JTL_ARTNR_PSU_OTHER
8ATF1G64AZ-2G3E1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
ATA TOSHIBA THNSNK128GVN8 M.2 2280 128GB-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
INNO124308 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
KM0VW4-MIB - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
INNO124205 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,RAM-8GB-DDR4
M378A1K43CB2-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HMA81GU6MFR8N-UH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-ST DVD-RAM GHC0N-HDD-ata-1GB,DVD-Brenner
