component,customer_serial
INNO135977 - DIMM DDR4 Synchronous 2933 MHz (0.3 ns)-8GB,9D56D25077F364
THNSF5512GPUK NVMe SED TOSHIBA 512GB-SSD-nvme-512GB,AD4B559D7ADCD6
HFS512GEJ9X110N-SSD-nvme-512GB,B0758837208FC0
Basic,C159D71714A60F
STICKER_GREED_ORANGE,C159D71714A60F
CASE_OFFICE_GREED,C159D71714A60F
COOLER_ORIGINAL,C159D71714A60F
PSU_FUJITSU,C159D71714A60F
D3221-A1,C159D71714A60F
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,C159D71714A60F
M378B5173QH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,C159D71714A60F
Intel HD 4600,C159D71714A60F
ATA CT500BX500SSD1-SSD-sata-500GB,C159D71714A60F
DVD Laufwerk,C159D71714A60F
SATA Kabel,C159D71714A60F
Q556AMZ_8_512,C2262686ADE40E
4ATF51264HZ-2G6E1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-4GB,C2262686ADE40E
KKN2NM-MIE - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-4GB,C2262686ADE40E
HMA851S6DJR6N-VK - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,C6A2CA277DFF89
18KSF1G72AZ-1G6E1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,CA29D417E391C2
"ATA SSD_2.5""_1TB_InnovationIT_QLC-SSD-ata-1024GB",CA29D417E391C2
HB-Ultra,CB4B8330ADA880
16_24_PIN_ADAPTER,CB4B8330ADA880
STICKER_HYPERBYTE_GRAU,CB4B8330ADA880
CASE_OFFICE_HB,CB4B8330ADA880
COOLER_ORIGINAL,CB4B8330ADA880
PSU_OFFICE_500W,CB4B8330ADA880
D3161-A1,CB4B8330ADA880
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,CB4B8330ADA880
HMT41GU6DFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,CB4B8330ADA880
Intel HD 4000,CB4B8330ADA880
ATA WD Blue SA510 2.5 1000GB-SSD-sata-1000GB,CB4B8330ADA880
DVD Laufwerk,CB4B8330ADA880
SATA Kabel,CB4B8330ADA880
M378B5173BH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,D10573842A3ECA
M471A1K43CB1-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,D168DB426F2C58
1600NDBD3 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,D48B58BEA49A98
PC_i9_32_2T_4070,D6ADCBE333369E
800G3_16_512,E27AFC3CE557B7
CASE_NON_CUSTOM,E27AFC3CE557B7
COOLER_ORIGINAL,E27AFC3CE557B7
NON_CUSTOM_PSU,E27AFC3CE557B7
829A,E27AFC3CE557B7
Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz,E27AFC3CE557B7
HKED4082CAA1D0HA1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,E27AFC3CE557B7
Intel HD 630,E27AFC3CE557B7
ATA MicroFrom 512GB SATA3 SSD-SSD-sata-512GB,E27AFC3CE557B7
V15-G2-8G-1TB_W,E386F2FC71F61E
 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,E4BFE93CB07D98
HKED4082CAA1D0HA1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,E5410CB99BE573
HFS512GEJ9X110N-SSD-nvme-512GB,E54EE6D7DA0589
HMA41GU7AFR8N-TF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,E68868768F7C31
18KSF1G72AZ-1G6E1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,EB4963FF92619B
10AS002PGE,EC257CF868ABED
8JTF25664AZ-1G6M1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-2GB,ED0A30924A6E70
V15G4-16-512-R5_W,EFD4DF86094575
ATA SanDisk SD8SB8U-512G-1006-SSD-sata-512GB,F09210D29735A5
Q556AMZ_8_512,F0CA53037C2EEE
M471A5244CB0-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-4GB,F0CA53037C2EEE
M474A1G43DB0-CPB - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,F538FD9D75719A
 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,FCA03E744EBF5B
THNSF5512GPUK NVMe SED TOSHIBA 512GB-SSD-nvme-512GB,FFA812D203D31A
